TITOLO;ALBUM/PODCAST;AUTORE;GENERE;TIPOLOGIA
Re Mida;Re Mida;Lazza;Hip hop/rap italiano;Canzone
COSÌ STUPIDI;IO NON HO PAURA;Ernia;Hip hop/rap italiano;Canzone
USCITO DI GALERA;SIRIO;Lazza;Hip hop/rap italiano;Canzone
Malibù;Bellaria;Vegas Jones;Hip hop/rap italiano;Canzone
FREE SOLO;Sensazione ultra;Ghali;Hip hop/rap italiano;Canzone
Lamette;Radio Gotham;Rose Villain;Hip hop/rap italiano;Canzone
WALLAH;Sensazione ultra;Ghali;Hip hop/rap italiano;Canzone
LORO;NOI, LORO, GLI ALTRI;Marracash;Hip hop/rap italiano;Canzone
MOLOTOV;SIRIO;Lazza;Hip hop/rap italiano;Canzone
Tintoria #139 Valerio Lundini;Tintoria;Daniele Tinti e Stefano Rapone;Intrattenimento;Podcast
OUV3RTURE;SIRIO;Lazza;Hip hop/rap italiano;Canzone
K.O.;Eclissi;Gemitaiz;Hip hop/rap italiano;Canzone
181;BLOCCO 181 - ORIGINAL SOUNDTRACK;SALMO;Hip hop/rap italiano;Canzone
Bellissima;E POI SIAMO FINITI NEL VORTICE;Annalisa;Pop;Canzone
Per Un Fra;Per Un Fra (feat. Ernia);Cancun;Hip hop/rap italiano;Canzone
HELLVISBACK 2;FLOP;SALMO;Hip hop/rap italiano;Canzone
ANTIPATICO;FLOP;SALMO;Hip hop/rap italiano;Canzone
VIOLA;DISUMANO;Fedez;Hip hop/rap italiano;Canzone
PANICO;SIRIO;Lazza;Hip hop/rap italiano;Canzone
Giorni stupidi;Mostri contro fantasmi;Rokas;Pop;Canzone
∞ LOVE;NOI, LORO, GLI ALTRI;Marracash;Hip hop/rap italiano;Canzone
Kyte sul tempo;Scusate se esistiamo;Dani Faiv;Hip hop/rap italiano;Canzone
ALDO RITMO;FLOP;SALMO;Hip hop/rap italiano;Canzone
Non mi regolo;Lunga vita;Briga;Hip hop/rap italiano;Canzone
Veleno;GVESVS;Guè;Hip hop/rap italiano;Canzone
IL CIELO NELLA STANZA;Playlist;SALMO;Hip hop/rap italiano;Canzone
CABRIOLET;Playlist;SALMO;Hip hop/rap italiano;Canzone
Stand up #1 Saverio Raimondo;Generazione Stand Up;Agi;Intrattenimento;Podcast
Stand up #2 Stefano Rapone;Generazione Stand Up;Agi;Intrattenimento;Podcast
Tintoria #143 Aurora Leone;Tintoria;Daniele Tinti e Stefano Rapone;Intrattenimento;Podcast
MI SENTO BENE;FLOP;SALMO;Hip hop/rap italiano;Canzone
Intro (Cielo);Caos;Fabri Fibra;Hip hop/rap italiano;Canzone
Tintoria #144 Zerocalcare;Tintoria;Daniele Tinti e Stefano Rapone;Intrattenimento;Podcast
FORTUNA;Sensazione ultra;Ghali;Hip hop/rap italiano;Canzone
ARANCIATA;L'AMORE;Madame;Hip hop/rap italiano;Canzone
Ferrari - Remix;Ferrari (Remix);James Hype;Dance/Elettronica;Canzone
Morto Mai (Piano solo);Re Mida (Aurum);Lazza;Hip hop/rap italiano;Canzone
ACQUA TONICA;IO NON HO PAURA;Ernia;Hip hop/rap italiano;Canzone
Stamm Fort;Potere;Luchè;Hip hop/rap italiano;Canzone
Veleno 7;Scatola Nera;Gemitaiz;Hip hop/rap italiano;Canzone
Senza Di Me;QVC8;Gemitaiz;Hip hop/rap italiano;Canzone
Superclassico;Gemelli;Ernia;Hip hop/rap italiano;Canzone
PIOVE;SIRIO;Lazza;Hip hop/rap italiano;Canzone
BABY;MADAME;Madame;Hip hop/rap italiano;Canzone
SPARARE ALLA LUNA;Playlist;SALMO;Hip hop/rap italiano;Canzone
IN TRAPPOLA;FLOP;SALMO;Hip hop/rap italiano;Canzone
Tintoria #147 Barbascura X;Tintoria;Daniele Tinti e Stefano Rapone;Intrattenimento;Podcast
Tintoria #148 Frank Matano;Tintoria;Daniele Tinti e Stefano Rapone;Intrattenimento;Podcast
Tintoria #169 Madame;Tintoria;Daniele Tinti e Stefano Rapone;Intrattenimento;Podcast
QUELLI CHE NON PENSANO - Il cervello;Persona;Marracash;Hip hop/rap italiano;Canzone
MADAME - L'anima;Persona;Marracash;Hip hop/rap italiano;Canzone
Socrate - Sai, se sai di non sapere;PENSIERO STUPENDO di Barbasophia;Saudino Matteo;Filosofia;Podcast
Password;Dove Volano Le Aquile;Luchè;Hip hop/rap italiano;Canzone
Tintoria #188 Caterina Guzzanti;Tintoria;Daniele Tinti e Stefano Rapone;Intrattenimento;Podcast
Tintoria #189 Trio Medusa;Tintoria;Daniele Tinti e Stefano Rapone;Intrattenimento;Podcast
Platone - Esci da quella caverna;PENSIERO STUPENDO di Barbasophia;Saudino Matteo;Filosofia;Podcast
#186 1204: I crociati scoprono Costantinopoli;Il podcast di Alessandro Barbero: Lezioni e Conferenze di Storia;Fabrizio Mele;Storia;Podcast
Egoista;Egoista;Shari;Pop soul;Canzone
Ep.5 S2 La dinastia Maldini con Paolo Maldini;PoretCast di Giacomo Poretti;Giacomo Poretti;Intrattenimento;Podcast
Ep.9 S2 Matteo Professione in arte Ernia;PoretCast di Giacomo Poretti;Giacomo Poretti;Intrattenimento;Podcast
MARLA;FLOP;SALMO;Hip hop/rap italiano;Canzone
Colpiscimi;Il giorno in cui ho smesso di pensare;Irama;Hip hop/rap italiano;Canzone
TOPBOY;SIRIO;Lazza;Hip hop/rap italiano;Canzone
Tintoria #193 Greg;Tintoria;Daniele Tinti e Stefano Rapone;Intrattenimento;Podcast
Aristotele - Parlar bene è pensar bene;PENSIERO STUPENDO di Barbasophia;Saudino Matteo;Filosofia;Podcast
100 MESSAGGI;100 MESSAGGI;Lazza;Hip hop/rap italiano;Canzone
